date,Yield,irradiance,temp,rain,wind,dust,income
1/5/2021,1239.62,14825,27.2,0,24.076,32,4958.48
2/5/2021,764.82,11024,27.4,0,25.928,22,3059.28
3/5/2021,1587.45,20903,27.6,0,22.224,26,6349.8
4/5/2021,1559.48,22764,27.1,0,29.632,26,6237.92
5/5/2021,1003.36,13548,27.1,0,25.928,21,4013.44
7/5/2021,1176.29,16921,28.5,0,20.372,24,4705.16
8/5/2021,930.95,13427,29.1,0,24.076,32,3723.8
9/5/2021,1215.55,16573,28.8,0,25.928,27,4862.2
11/5/2021,1260.26,17144,28.5,0,27.78,22,5041.04
12/5/2021,1536.34,22767,28,0,31.484,31,6145.36
13/5/2021,1473.01,22039,28.2,0,33.336,34,5892.04
16/5/2021,1351.57,18204,28.5,0,33.336,24,5406.28
17/5/2021,1219.53,15887,29.1,0,22.224,22,4878.12
19/5/2021,946.06,12522,28,0,22.224,33,3784.24
20/5/2021,1105.07,14973,26.6,0,20.37,9,4420.28
21/5/2021,1325.68,18373,26.9,4.4,22.224,11,5302.72
22/5/2021,1113.58,16196,24.9,2.1,29.632,12,4454.32
23/5/2021,1299.06,17134,26.6,3.2,22.224,15,5196.24
24/5/2021,1401.39,20309,26.9,0,25.928,17,5605.56
25/5/2021,953.39,13422,26.5,0,22.224,29,3813.56
26/5/2021,897.73,12311,26.6,0,20.37,31,3590.92
27/5/2021,931.28,13095,26.9,4.4,22.224,22,3725.12
28/5/2021,1069.23,14768,24.9,2.1,29.632,8,4276.92
29/5/2021,1377.01,19367,24.6,0,33.336,18,5508.04
30/5/2021,1516.32,20457,24.4,0,27.78,15,6065.28
31/5/2021,1558.22,21590,23.3,0.6,24.076,15,6232.88
1/6/2021,1326.09,17556,23.6,8.5,14.816,19,5304.36
2/6/2021,1213.52,15480,26,0.6,18.52,22,4854.08
3/6/2021,1460.31,19057,26.6,3.2,22.224,28,5841.24
4/6/2021,1422.13,19748,26.6,3.2,22.224,39,5688.52
5/6/2021,1072.4,14542,26.9,0,25.928,35,4289.6
6/6/2021,1299.09,17285,26.5,0,22.224,15,5196.36
7/6/2021,1098.71,14254,26.6,0,20.37,15,4394.84
8/6/2021,1179.44,17464,26.9,4.4,22.224,19,4717.76
9/6/2021,1028.1,13500,26.9,0,25.928,35,4112.4
10/6/2021,1105.37,15300,27.7,0,22.224,15,4421.48
11/6/2021,929.42,12738,28,0,14.816,13,3717.68
12/6/2021,1050.31,14116,28.3,14,24.076,16,4201.24
13/6/2021,1391.01,19505,26.9,4.4,22.224,22,5564.04
14/6/2021,1483.39,19900,24.9,2.1,29.632,8,5933.56
15/6/2021,1258,17960,24.6,0,33.336,18,5032
16/6/2021,1353.73,19994,24.4,0,27.78,15,5414.92
17/6/2021,1257.95,17569,23.3,0.6,24.076,15,5031.8
18/6/2021,1642.52,22233,23.6,8.5,14.816,19,6570.08
19/6/2021,1302.2,19167,26,0.6,18.52,22,5208.8
20/6/2021,1420.92,17688,26.6,3.2,22.224,28,5683.68
21/6/2021,1319.67,17767,26.6,3.2,22.224,39,5278.68
22/6/2021,1263.71,17446,26.9,0,25.928,35,5054.84
23/6/2021,906.17,10874,26.5,0,22.224,15,3624.68
24/6/2021,1324.23,18042,26.6,0,20.37,15,5296.92
25/6/2021,1179.07,16130,26.9,4.4,22.224,19,4716.28
26/6/2021,1573.96,22186,26.9,0,25.928,35,6295.84
27/6/2021,1623.37,23080,27.7,0,22.224,15,6493.48
28/6/2021,1504.76,21397,28,0,14.816,13,6019.04
29/6/2021,1552.07,22061,28.3,14,24.076,16,6208.28
30/6/2021,1458.23,20541,27,0,11.112,15,5832.92
1/7/2021,1605,22509,27.8,0,16.668,13,6420
2/7/2021,1179.09,15604,27.4,0.5,18.52,14,4716.36
3/7/2021,1303.69,17109,27.3,2.3,18.52,16,5214.76
4/7/2021,1299.01,18098,27.8,0,18.52,23,5196.04
5/7/2021,1325.35,15409,26.5,7.5,20.372,10,5301.4
6/7/2021,1204.53,16454,26.5,0,22.224,11,4818.12
7/7/2021,1084.83,15562,26.2,8.1,27.78,11,4339.32
8/7/2021,923.51,13414,26.5,21,22.224,9,3694.04
9/7/2021,1148.54,15213,25.7,15.8,35.18,9,4594.16
10/7/2021,667.04,9334,26.1,18.6,18.52,10,2668.16
11/7/2021,1319.18,16752,26.3,28.1,27.78,9,5276.72
12/7/2021,1016.13,12649,26.8,14.5,18.52,9,4064.52
13/7/2021,1488.34,17552,25.9,1.7,11.112,17,5953.36
14/7/2021,1048.56,14298,25.8,0,20.372,35,4194.24
15/7/2021,964.94,13220,26.3,0,14.816,40,3859.76
16/7/2021,1415.26,19286,26.8,0,18.52,37,5661.04
17/7/2021,1585.76,22343,27.2,0,25.928,30,6343.04
18/7/2021,1340.78,18299,26.8,9.3,29.632,20,5363.12
19/7/2021,1335.59,19664,27,0,22.224,18,5342.36
20/7/2021,788.93,10816,27,0,18.52,22,3155.72
21/7/2021,1138.63,14981,27.5,0,24.076,20,4554.52
22/7/2021,1482.31,21644,27.8,1.5,46.3,15,5929.24
23/7/2021,1134.79,15692,27.8,0,25.928,16,4539.16
24/7/2021,1089.23,15956,26.7,10.4,31.484,15,4356.92
25/7/2021,951.95,13873,28.2,10.6,25.928,11,3807.8
26/7/2021,1271.99,18179,28.6,0.2,20.372,11,5087.96
28/7/2021,1365.54,18304,27.8,5.7,40.744,16,5462.16
29/7/2021,1205.56,18106,28.6,0.1,22.224,14,4822.24
30/7/2021,823.42,11167,28.5,7.9,20.372,12,3293.68
31/7/2021,1450.32,18863,28.5,0,33.336,15,5801.28
1/8/2021,1605,14860,28.7,0.6,29.632,14,6420
2/8/2021,1179.09,15119,28,41.9,22.224,12,4716.36
3/8/2021,1303.69,13668,28.8,0,22.224,14,5214.76
4/8/2021,1299.01,17928,27.7,8.1,12.964,22,5196.04
5/8/2021,1325.35,18228,27.3,2,16.668,7,5301.4
6/8/2021,1204.53,14882,26.7,2,31.484,10,4818.12
7/8/2021,1084.83,19291,27.2,0.8,25.928,9,4339.32
8/8/2021,923.51,18490,25.3,19.1,16.668,11,3694.04
9/8/2021,1148.54,16316,27.4,12.6,64.82,8,4594.16
10/8/2021,667.04,20219,28.3,0,14.816,12,2668.16
11/8/2021,1319.18,15658,29.6,0,25.928,17,5276.72
12/8/2021,1016.13,21392,29.5,0,29.632,16,4064.52
13/8/2021,1488.34,15263,28.1,1.2,46.3,16,5953.36
14/8/2021,1048.56,14409,28.8,0.7,9.26,11,4194.24
15/8/2021,964.94,10677,28.4,0.4,20.372,11,3859.76
16/8/2021,1415.26,16171,27.5,2.2,27.78,17,5661.04
17/8/2021,1585.76,21526,26.6,14,50.004,10,6343.04
18/8/2021,1340.78,20734,28,0,20.372,13,5363.12
19/8/2021,1335.59,14029,29.6,0,18.52,17,5342.36
20/8/2021,788.93,13866,29.1,0,16.668,14,3155.72
21/8/2021,1138.63,16704,28.2,2,29.632,12,4554.52
22/8/2021,1482.31,16993,27,69.5,29.632,14,5929.24
23/8/2021,1134.79,21437,27.9,0.3,24.076,11,4539.16
24/8/2021,1089.23,15209,27.3,1.5,29.632,11,4356.92
25/8/2021,951.95,20368,26.7,0,14.816,8,3807.8
26/8/2021,1271.99,12730,27.3,2,16.668,7,5087.96
27/8/2021,1139.81,15424,26.7,2,31.484,10,4559.24
28/8/2021,1365.54,21970,27.2,0.8,25.928,9,5462.16
29/8/2021,1205.56,18357,25.3,19.1,16.668,11,4822.24
30/8/2021,823.42,20642,27.4,12.6,64.82,8,3293.68
31/8/2021,1450.32,13407,28.3,0,14.816,12,5801.28
1/9/2021,870.5,11916,28.5,7.9,20.372,12,3482
2/9/2021,1098.08,14945,29.6,0,18.52,17,4392.32
3/9/2021,1076.85,14961,29.6,0,18.52,17,4307.4
4/9/2021,1465.97,20826,26.7,0,14.816,8,5863.88
5/9/2021,1391.31,19677,27.2,0.8,25.928,9,5565.24
6/9/2021,1501.43,21694,27.3,2,16.668,7,6005.72
7/9/2021,606.7,8461,26.7,2,31.484,10,2426.8
8/9/2021,1308.66,18616,27.2,0.8,25.928,9,5234.64
9/9/2021,675.57,9279,25.3,19.1,16.668,11,2702.28
10/9/2021,1090.68,14950,29.6,0,18.52,17,4362.72
11/9/2021,1287.03,16880,28.3,0,14.816,12,5148.12
12/9/2021,1407.43,20518,28.5,7.9,20.372,12,5629.72
13/9/2021,1232.83,16335,29.6,0,18.52,17,4931.32
14/9/2021,1190.78,16541,29.6,0,18.52,17,4763.12
15/9/2021,701.32,9571,28.8,0.7,9.26,11,2805.28
